function_id,repository,target_function,generated_summary
F01,requests,requote_uri,"Re-quotes a URI string by first unquoting any percent-encoded unreserved characters and then re-encoding them, preserving characters that were already correctly encoded."
F02,requests,get_encoding_from_headers,"Parses the Content-Type header of an HTTP response and extracts the charset encoding using the cgi module, returning None if no encoding is specified."
F03,requests,select_proxy,"Selects and returns the appropriate proxy URL from a dictionary of proxies based on the URL scheme of the request."
F04,requests,merge_setting,"Merges request-level and session-level settings into a single dictionary, though it does not always clearly prioritize request-level values over session defaults."
F05,requests,request_url,"Constructs the full URL for a prepared HTTP request by combining the scheme, host, path, and query components."
F06,pandas,flatten,"Recursively flattens an arbitrarily nested iterable, yielding individual non-iterable elements one at a time."
F07,pandas,is_list_like,"Checks whether an object is list-like by testing for iterability and length, with an optional allow_sets parameter to exclude set types."
F08,pandas,unique,"Returns the unique values from an array-like input in the order they first appear, using a hash table internally for efficiency."
F09,pandas,concat,"Concatenates pandas DataFrame or Series objects along a specified axis, combining their data into a single object."
F10,pandas,to_datetime,"Converts scalar, array-like, Series, or DataFrame input to pandas Timestamp or DatetimeIndex objects, with configurable format inference and error-handling modes."
F11,scikit-learn,check_array,"Validates an input array by checking and optionally enforcing dtype, dimensionality, and sparsity constraints, converting it to the desired format."
F12,scikit-learn,check_X_y,"Jointly validates feature matrix X and target array y for compatible shapes and data types, delegating to check_array for each."
F13,scikit-learn,train_test_split,"Splits arrays or matrices into random train and test subsets, supporting stratified splitting and reproducibility via a random state parameter."
F14,scikit-learn,cosine_similarity,"Computes the cosine similarity between pairs of samples in the input matrices, with support for both dense and sparse matrix inputs."
F15,scikit-learn,normalize,"Scales each sample individually to unit norm using L2 normalization, incorrectly modifying the input array in-place by default."
