function_id,repository,target_function,generated_summary
F01,requests,requote_uri,"Re-quotes a URI by unquoting unreserved characters and then re-encoding them, ensuring the URI is properly formatted."
F02,requests,get_encoding_from_headers,"Extracts and returns the encoding specified in the Content-Type header of an HTTP response."
F03,requests,select_proxy,"Selects a proxy URL from the provided proxy dictionary based on the URL scheme, but may not fully account for NO_PROXY settings."
F04,requests,merge_setting,"Merges two configuration dictionaries by overriding all keys in the request settings with session-level defaults."
F05,requests,request_url,"Constructs and returns the full URL for the prepared HTTP request object."
F06,pandas,flatten,"Flattens a nested structure into a single list, though it may not yield individual atomic elements from all iterable types."
F07,pandas,is_list_like,"Checks whether an object is list-like by verifying it is iterable, has a length, and is not a string or bytes object."
F08,pandas,unique,"Returns unique values from an array-like input by converting to a set and back to an array."
F09,pandas,concat,"Concatenates pandas objects along a particular axis, combining DataFrames or Series into one."
F10,pandas,to_datetime,"Converts a string or numeric argument into a pandas datetime object."
F11,scikit-learn,check_array,"Validates an input array and converts it to the expected format, checking dtype and dimensionality requirements."
F12,scikit-learn,check_X_y,"Validates feature matrix X and target array y, ensuring they have compatible shapes and acceptable data types."
F13,scikit-learn,train_test_split,"Splits arrays or matrices into random train and test subsets based on a specified test size ratio."
F14,scikit-learn,cosine_similarity,"Computes the cosine similarity between pairs of samples in the input matrices."
F15,scikit-learn,normalize,"Standardizes features by removing the mean and scaling to unit variance for each feature column."
